"sex" "age" "field" "language" "education" "paranormal" "toss.K" "toss.RT" "grid.K" "grid.RT" "guess.K" "guess.RT" "roll.K" "roll.RT" "spot.K" "spot.RT" "K" "toss" "guess" "roll" "spot" "grid" "RT"
"female" 41.0054794520548 "humanities" "french" 4 0 -0.69307687786102 45.1 -0.26594314058387 12.7 0.753916272314429 22.5 0.889305329321589 11.8 -15.1528449549343 7.7 -2.89372867434863 "000000111111" "4352432155" "2565145663" "5555555555" "101100101" 99.8
"male" 42.2986301369863 "science" "french" 7 0 1.06049521580345 9.1 0.356184830254905 13.8 1.17317748924464 17.6 1.86725194571223 11.2 1.99068527726356 13.3 1.28955895165576 "011010001011" "3254123125" "2415331652" "5627496315" "010001110" 65
"male" 53.7013698630137 "science" "french" 6 0 0.201293726131176 6.2 1.77344872879726 20.6 1.86789708598317 13.5 0.326972721299759 11.7 1.51601275487208 13.8 1.13712500341669 "000011101000" "4213512454" "1112352436" "9652981457" "000011101" 65.8
"male" 53.7890410958904 "other" "english" 4 4 0.23852025170364 16.3 0.0687445069726324 54.7 -0.0762861861272762 32.5 -1.62074693054353 16 -15.1528449549343 9.2 -3.30852266258577 "001111011101" "1513325551" "4455663366" "4444444444" "010101010" 128.7
"female" 49.6082191780822 "science" "french" 6 0 -0.797830410346681 9.8 0.723053305767659 21.4 1.1496394282282 13 2.35564048582964 9.8 1.99989442541933 13.1 1.08607944697963 "110110000000" "2314532221" "1256432156" "1576284539" "000110111" 67.1
"female" 47.3424657534247 "humanities" "french" 4 3 -4.41549456072126 20.4 0.356184830254905 11 1.29375030706704 35 0.78146910757958 21.3 2.24468315240861 10.6 0.0521185673177749 "000000000000" "2513242512" "6514664216" "5623984175" "110001010" 98.3
"male" 54.3232876712329 "0" "french" 3 0 -0.0974759188804368 12.4 0.356184830254905 26.9 0.892494277486854 12.4 -7.26406079626738 6.3 2.14310714217543 12.3 -0.793950093046126 "101111000000" "2322451232" "6666665555" "8569741235" "101010110" 70.3
"male" 38.6027397260274 "other" "french" 5 0 0.213536736688299 33.6 0.0102290462036586 35.3 -8.16908568875474 45.5 1.42166056409196 26.8 1.64576664745288 14.2 -0.975578538863588 "000101101101" "4544444444" "1145633521" "5623964827" "011000111" 155.4
"male" 30.641095890411 "science" "french" 6 0 0.685710118288427 11.6 -0.596190894812097 14.8 1.90242921043956 15.2 1.20476188883233 8.8 1.66163382350432 11 0.971668829250508 "001001111001" "4233115423" "1525543621" "5417825493" "011001110" 61.4
"male" 33.7232876712329 "humanities" "french" 6 0 -0.213168440380414 7.9 0.356184830254905 8.4 0.983636302614013 18.2 0.723399332767189 12.3 0.0150410932208635 14.9 0.373018623695311 "001001110101" "3243122554" "1142135423" "5645627836" "001101010" 61.7
"female" 38.7945205479452 "science" "french" 6 0 0.404517267557664 58.5 0.145914824578648 8.1 1.26439374264735 49.8 2.05736924514544 22.8 -12.3601684748385 74 -1.69759467898188 "000101111111" "5531435214" "4653162145" "8966666666" "101001110" 213.2
"male" 10.1342465753425 "0" "french" 1 0 -4.41549456072126 8.8 1.33650212698573 31.5 -9.98203234107658 8.4 1.74735094781636 19 -15.1528449549343 12.1 -5.29330375638601 "000000000000" "1111111111" "1245163512" "5555555555" "001011101" 79.8
"female" 38.7945205479452 "science" "french" 6 0 -0.420979761617647 6.1 -1.5563283767736 4.9 0.639641752568944 8.5 -1.6037876184793 7.9 -9.69999688390248 8.4 -2.52829017764082 "111110000000" "3523415455" "2366665144" "1111666666" "111100111" 35.8
"female" 52.9835616438356 "science" "french" 7 0 -1.52700324485901 22.2 -0.780898257585697 21.1 1.41802785578146 23.2 1.78491313963796 13.8 2.24468315240861 12.6 0.627944529076665 "101001000000" "3321445321" "2451365452" "5412687935" "010010010" 92.9
"female" 24.2849315068493 "other" "french" 6 5 -1.09817071637114 28.3 1.77344872879726 38.3 0.639641752568944 24.1 1.45131004308299 17.9 -15.1528449549343 18.1 -2.47732302937125 "010100110101" "3542135421" "6313246514" "5555555555" "011010001" 126.7
"female" 28.6082191780822 "other" "french" 6 0 0.866643443892017 37.7 1.8214169933467 23.3 1.52819508963942 30.2 0.326972721299759 45.2 1.51414556243827 17.8 1.21147476212323 "001001101110" "2532134521" "5246534134" "6548691573" "010001101" 154.2
"female" 24.8958904109589 "other" "french" 5 3 0.588321834203256 22.2 -0.596190894812097 6.4 1.92595258695303 19.1 0.438287202042257 23.8 2.00757791872333 8 0.872789729421955 "001001011001" "2431253441" "5615466232" "5436172856" "110001011" 79.5
"male" 20.1643835616438 "science" "french" 4 0 -0.69307687786102 7.6 -0.596190894812097 24.4 1.29375030706704 13.8 -1.16595691298537 8.7 2.24468315240861 10.2 0.216641754763433 "111111000000" "3231154233" "1111425321" "5236417895" "110001011" 64.7
"male" 30.041095890411 "science" "french" 6 0 -0.0242230473276111 8.8 0.206595179695689 15.3 1.74316566468715 20.2 1.40706909106986 8.8 1.49247945481633 9.2 0.965017268588284 "001101110010" "2545123415" "5326241546" "5364859218" "100001101" 62.3
"male" 22.613698630137 "other" "french" 5 2 0.665394272280631 7.9 1.33650212698573 19.2 1.48475006190442 17.8 1.3926288277425 7 1.63238315498635 8.4 1.30233168877993 "010011000001" "2413513241" "4253664122" "5712845239" "000101011" 60.3
"male" 28.2301369863014 "science" "french" 7 0 -0.4333043946556 8.7 -0.25296007246356 6.6 1.57308854888168 18.9 0.200496759020519 9.1 0.812108560408098 12.1 0.379885880238227 "011101000001" "2441352234" "1522645224" "4365861454" "101011101" 55.4
"male" 36.3890410958904 "science" "french" 6 3 0.517184143856415 16.6 -0.678035429199681 15 0.189786314020222 13.3 1.43048935565975 8 0.125490199429401 7.2 0.316982916753221 "000110011101" "4155322243" "6523516413" "5433626997" "011011110" 60.1
